index,Number of Comments,Number of Subscribers,Membership Duration,Number of Uploads,Profanity in UserID,Age,class
0,10,1,3,3,0,15,0
1,3,0,6,5,0,31,0
2,7,0,3,5,0,43,1
3,34,0,3,5,0,44,1
4,11,173,5,5,0,21,0
5,12,1,3,3,0,27,0
6,1,0,3,5,0,23,0
7,19,1,6,5,0,56,0
8,8,0,3,5,0,20,0
9,6,0,2,3,0,15,0
10,20,76,6,5,1,26,0
11,8,7,4,1,0,15,0
12,16,25,2,3,0,22,0
13,22,1,2,2,0,33,0
14,24,171,4,34,0,18,0
15,20,0,3,5,0,14,0
16,6,0,3,5,0,82,0
17,7,5,4,3,0,20,0
18,5,10,3,1,0,21,0
19,9,0,4,5,0,21,0
20,17,4,4,11,0,32,0
21,36,2,2,5,0,22,1
22,18,0,5,5,0,23,0
23,6,1,5,5,0,21,1
24,13,4,2,5,0,18,0
25,35,1,7,5,0,62,1
26,5,0,3,4,0,18,0
27,30,28,5,18,0,31,0
28,24,0,3,5,0,21,0
29,7,1,4,1,0,18,0
30,17,15,3,5,0,24,0
31,14,0,2,4,0,20,0
32,2,108,4,5,0,21,0
33,23,0,2,8,0,20,0
34,31,5,4,5,0,32,0
35,27,4,4,3,0,17,0
36,4,1,2,3,0,21,0
37,32,0,3,5,0,19,1
38,25,0,3,5,0,15,0
39,28,7,2,5,0,30,0
40,14,6,4,1,0,25,0
41,5,1,4,5,0,19,0
42,9,3,4,5,1,20,0
43,21,4,5,5,0,22,1
44,8,3,4,3,0,17,0
45,21,3,3,1,0,28,0
46,8,0,4,5,0,49,0
47,2,8,4,1,0,19,0
48,37,0,3,5,0,16,0
49,24,0,5,5,0,28,0
50,29,0,3,2,0,20,0
51,28,324,5,159,0,22,0
52,20,0,4,3,0,20,0
53,7,2,4,2,0,19,0
54,20,2,4,4,0,26,0
55,15,7,3,11,0,14,0
56,10,0,2,5,0,13,0
57,30,64,3,6,0,16,0
58,17,4,3,3,0,21,0
59,25,15,5,5,0,22,0
60,4,17,3,23,0,50,0
61,19,0,2,5,0,21,1
62,40,34,5,5,1,25,1
63,18,0,3,5,0,91,1
64,21,406,2,191,0,18,0
65,14,37,2,5,0,14,0
66,11,44,2,83,0,22,0
67,25,1,5,5,0,23,0
68,22,0,3,5,0,20,0
69,5,0,3,5,0,21,0
70,21,8,5,16,0,21,0
71,34,0,3,2,1,27,1
72,21,0,3,5,0,17,0
73,30,3,3,5,0,23,0
74,6,55,4,4,0,20,0
75,9,119,7,2,0,24,0
76,11,5,4,6,0,23,0
77,7,0,5,5,0,19,0
78,24,7,2,5,0,17,1
79,7,8,2,3,0,19,0
80,11,2,3,3,0,16,0
81,6,0,3,5,0,35,0
82,2,0,2,5,0,15,0
83,11,2,3,5,0,14,0
84,1,10,3,24,0,14,0
85,1,208,4,19,0,34,0
86,8,3,3,6,0,19,1
87,16,1,4,3,0,29,0
88,15,11,3,14,0,21,0
89,31,4,4,5,0,26,0
90,18,8,4,13,0,23,0
91,25,4,3,5,0,48,0
92,10,0,5,1,0,30,0
93,6,0,3,1,0,34,0
94,27,2,2,5,0,20,1
95,9,2,3,5,0,17,0
96,1,0,8,5,0,30,0
97,27,6,3,22,0,13,0
98,10,0,3,5,0,22,0
99,30,0,3,111,0,40,0
100,23,1,5,5,0,22,0
101,40,0,3,5,1,21,0
102,2,0,3,5,0,23,0
103,2,0,4,5,0,30,0
104,18,0,5,5,0,26,0
105,11,21,4,8,0,29,0
106,20,0,3,5,0,14,0
107,36,2,4,10,0,22,1
108,17,3,2,5,0,13,0
109,1,0,4,5,0,17,0
110,2,17,4,7,0,20,0
111,12,3,4,2,0,19,0
112,7,2,3,5,0,42,0
113,36,4,5,3,0,21,1
114,29,4,4,3,0,15,0
115,24,5,3,5,0,21,0
116,10,0,3,5,0,21,0
117,13,0,3,5,0,39,0
118,22,1,2,1,0,22,0
119,35,1,5,5,0,24,1
120,21,1,2,5,0,44,0
121,4,0,4,5,0,65,0
122,28,2,4,3,0,20,1
123,15,6,4,5,0,23,1
124,15,0,5,5,0,27,0
125,36,4,3,1,1,23,0
126,1,2,7,18,0,26,1
127,25,0,3,5,0,26,0
128,1,1,3,5,0,21,0
129,5,2,3,4,0,40,0
130,13,1,5,5,0,35,0
131,36,0,2,5,0,27,1
132,30,4,4,5,0,21,0
133,2,111,3,148,0,44,0
134,4,2,4,1,1,23,0
135,5,4,3,3,0,17,1
136,32,19,3,6,0,31,0
137,16,0,4,1,0,24,0
138,27,3,4,5,0,23,0
139,2,23,3,33,0,20,0
140,17,2,3,5,0,21,0
141,16,0,2,5,0,21,0
142,8,104,3,20,0,17,0
143,9,2,3,5,0,19,0
144,1,5,4,11,0,16,0
145,1,5,5,3,0,20,0
146,27,0,3,5,0,21,0
147,29,2,3,5,1,18,0
148,12,460,4,115,0,22,0
149,11,1,3,2,1,14,0
150,5,8,4,22,0,29,0
151,3,0,3,1,0,15,0
152,9,5,3,29,0,31,0
153,29,202,3,8,0,18,0
154,26,0,3,5,0,20,0
155,37,18,4,20,0,16,1
156,10,0,3,2,0,21,0
157,16,0,3,5,0,24,0
158,34,0,3,5,0,22,1
159,26,0,2,5,1,110,1
160,15,11,3,5,0,15,0
161,26,0,2,5,0,15,1
162,16,0,5,9,0,22,0
163,37,1,2,5,0,22,1
164,33,19,4,23,0,42,0
165,2,1,3,6,0,27,0
166,1,1198,7,272,0,32,0
167,22,11,4,30,0,20,0
168,18,0,2,5,0,32,0
169,27,152,8,46,0,27,0
170,12,4,4,8,0,109,0
171,19,175,3,29,0,21,0
172,5,0,3,5,0,18,0
173,1,7,3,5,0,24,1
174,3,12,8,5,0,53,0
175,30,1,3,3,0,29,1
176,10,0,3,5,0,14,0
177,41,0,3,5,0,22,1
178,1,8,4,2,0,20,0
179,3,1,4,5,0,20,0
180,21,14,4,4,0,23,0
181,15,0,2,5,0,42,0
182,10,1,5,5,0,21,0
183,5,1,7,5,0,23,0
184,13,4,5,8,0,17,0
185,8,0,4,5,0,41,0
186,5,15,4,12,0,26,1
187,18,8,3,3,0,32,0
188,19,468,2,118,0,17,0
189,17,0,2,5,0,22,0
190,20,0,3,5,1,20,1
191,27,1,5,2,0,22,0
192,31,2,4,1,0,26,0
193,13,6,3,13,1,30,0
194,12,1,2,6,1,21,0
195,15,36,2,5,0,17,0
196,9,62,3,7,1,25,0
197,1,183,4,56,0,16,0
198,22,0,3,5,0,27,1
199,29,1,2,1,0,21,0
200,27,1,4,5,0,69,0
201,21,5,3,12,0,23,0
202,1,0,2,5,0,45,0
203,9,2,4,5,1,16,0
204,4,12,6,24,0,34,1
205,9,2,4,5,0,21,0
206,4,1,5,3,0,17,0
207,2,14,3,5,1,16,0
208,1,2,5,5,0,19,0
209,26,1,2,4,0,18,0
210,10,0,2,5,0,17,0
211,5,2,2,2,0,14,0
212,11,2,2,12,1,89,0
213,8,5,5,5,0,21,0
214,30,3,4,16,1,19,0
215,1,0,3,5,0,23,0
216,2,0,2,5,0,14,0
217,13,18,5,5,0,18,0
218,6,4,3,5,0,24,0
219,21,15,3,113,0,18,0
220,3,0,5,5,0,21,0
221,1,0,3,5,0,22,1
222,11,16,3,21,0,44,1
223,13,4,8,6,0,25,0
224,33,0,2,5,0,18,1
225,42,32,8,3,0,29,1
226,31,2,4,7,0,17,0
227,8,6,3,27,0,20,0
228,1,0,4,2,0,25,0
229,37,1,3,5,0,28,1
230,29,0,2,5,0,13,0
231,30,2,3,1,0,20,0
232,19,5,3,5,0,18,1
233,17,23,3,10,0,21,0
234,4,1,4,5,0,43,0
235,10,8,3,5,0,14,0
236,10,3,3,2,0,30,0
237,11,9,8,5,0,24,0
238,15,5,3,3,0,28,0
239,10,2,7,4,0,31,0
240,8,0,3,5,0,20,0
241,9,1,3,5,0,27,0
242,28,19,3,5,0,16,0
243,15,1,4,5,0,18,0
244,17,0,2,5,0,31,1
245,1,7,4,8,0,20,0
246,5,0,7,5,0,38,0
247,20,1,3,5,0,16,0
248,20,0,4,5,0,21,0
249,16,1,7,5,0,25,0
250,4,0,3,2,0,110,0
251,38,2,3,5,0,22,0
252,11,5,3,7,0,14,1
253,1,1,6,5,0,19,0
254,8,35,3,5,0,15,0
255,15,85,3,8,0,17,1
256,15,1,4,1,0,30,0
257,40,0,6,5,0,30,1
258,2,18,3,7,0,17,1
259,8,21,4,74,0,16,0
260,3,3,2,5,0,23,0
261,3,2247,3,9,0,17,0
262,29,12,4,1,0,24,1
263,31,4,4,20,0,26,0
264,4,10,3,26,0,20,0
265,19,0,2,5,0,22,0
266,40,30,7,6,1,41,1
267,7,0,3,11,0,19,0
268,1,450,4,252,1,21,0
269,12,4,6,10,0,25,0
270,1,76,3,95,0,21,0
271,9,0,5,5,0,19,0
272,30,0,3,5,0,20,0
273,13,42,5,4,0,18,0
274,18,8,8,8,0,29,0
275,38,3,3,5,0,22,0
276,14,10,4,2,0,63,0
277,1,0,3,5,0,44,0
278,34,2,3,5,1,49,0
279,21,4,5,1,0,26,0
280,16,345,3,30,0,16,0
281,5,0,3,5,0,22,0
282,6,0,3,3,0,20,0
283,19,185,4,10,0,19,0
284,19,0,3,5,0,15,0
285,23,0,3,5,0,41,0
286,7,1,3,5,0,32,0
287,27,0,5,1,0,21,0
288,20,7,3,15,0,26,0
289,17,6,4,5,0,91,0
290,36,1,7,5,0,34,0
291,24,6,2,8,0,15,0
292,3,13,5,11,0,18,0
293,16,29,5,9,0,16,0
294,6,3,3,2,0,20,0
295,3,1,3,9,0,15,0
296,1,2,7,2,0,27,0
297,14,168,5,23,0,17,0
298,5,8,5,2,0,19,0
299,7,30,6,12,1,31,0
300,18,61,4,7,0,17,0
301,16,1,2,2,0,22,0
302,17,0,5,5,0,29,0
303,10,1,3,5,0,14,0
304,4,19,5,22,0,17,0
305,13,2,5,5,0,21,0
306,22,2,3,5,0,21,0
307,4,0,3,5,1,31,0
308,13,0,2,1,1,41,0
309,1,1,3,5,0,17,0
310,27,0,3,5,0,21,0
311,25,41,4,2,0,24,0
312,3,0,4,5,0,19,0
313,12,5,4,5,0,28,0
314,10,3,3,5,0,38,0
315,28,1,3,2,0,32,1
316,17,3,5,5,0,19,0
317,19,9,2,40,0,19,0
318,3,11,4,10,0,15,0
319,34,0,4,5,0,25,0
320,16,0,7,5,0,33,1
321,3,0,3,5,0,19,1
322,8,1,2,1,0,21,0
323,26,1,3,2,0,19,0
324,27,0,4,5,0,19,0
325,5,0,2,1,0,15,0
326,17,1,5,1,0,17,0
327,1,484,3,62,0,21,0
328,27,2,4,3,0,29,0
329,26,2,3,5,0,19,0
330,28,4,5,5,0,21,0
331,6,19,5,11,0,18,0
332,20,2,4,5,0,18,0
333,7,8,6,16,0,21,0
334,21,1,3,6,0,32,0
335,7,9,5,18,0,16,0
336,13,0,3,5,0,34,0
337,6,2,3,32,0,35,0
338,1,3,5,31,0,43,0
339,9,3,2,1,0,13,0
340,27,2,3,5,0,15,0
341,12,2,5,5,0,29,0
342,4,20,4,23,0,21,0
343,21,0,4,5,0,15,0
344,1,0,3,5,0,14,0
345,8,3,2,4,0,21,0
346,5,7,4,5,1,20,0
347,21,7,3,5,0,22,1
348,22,0,3,5,1,21,0
349,21,10,5,5,1,24,0
350,21,1,3,5,1,13,0
351,8,0,3,5,1,21,0
352,25,1,4,5,0,36,0
353,16,2,2,2,0,18,0
354,20,0,4,3,0,18,0
355,35,5,2,5,0,21,0
356,17,0,3,5,0,14,0
357,16,10,3,5,0,21,0
358,33,1,3,1,0,34,0
359,16,14,4,5,0,43,1
360,12,2,3,5,0,20,0
361,5,8,3,18,0,21,0
362,13,7,6,3,1,24,0
363,3,2,3,3,0,17,0
364,33,3,4,6,0,29,0
365,27,4,2,5,0,30,0
366,2,0,3,2,0,19,0
367,11,0,8,5,0,52,0
368,10,737,5,79,0,21,0
369,5,0,2,5,0,13,0
370,30,0,3,5,0,24,0
371,38,0,4,4,0,23,0
372,9,2,5,36,1,19,0
373,27,7,4,20,1,27,0
374,19,2,3,2,0,19,0
375,1,0,8,5,0,24,1
376,17,1,7,5,0,31,0
377,10,423,5,21,0,21,0
378,38,4,7,1,0,29,0
379,11,0,4,1,1,20,0
380,4,5,3,8,0,22,0
381,14,10,3,8,0,16,0
382,21,1,3,5,0,28,0
383,30,2,5,11,0,16,1
384,19,0,7,5,0,24,1
385,18,3,4,1,0,25,0
386,3,12,3,13,0,15,0
387,17,7,3,1,0,16,0
388,7,32,3,84,0,14,0
389,2,0,3,5,0,16,0
390,6,0,5,3,0,21,0
391,12,0,3,5,0,15,0
392,4,0,8,5,0,51,0
393,11,8,6,5,0,59,0
394,2,0,3,5,0,32,0
395,33,0,3,5,0,20,0
396,2,1,4,5,0,46,0
397,10,0,3,1,0,22,0
398,5,4,5,5,0,18,0
399,11,23,6,5,0,23,0
400,13,0,3,5,0,16,0
401,15,0,2,5,0,23,0
402,2,0,2,5,0,62,0
403,20,1,3,5,0,20,0
404,9,4701,7,30,0,23,0
405,11,0,3,5,0,21,0
406,32,2,3,5,0,57,0
407,13,1,3,5,0,21,0
408,22,0,3,5,0,30,0
409,27,3,2,14,0,23,0
410,33,3,3,2,0,22,1
411,2,2,2,5,0,21,0
412,8,0,3,4,0,18,0
413,6,3,2,1,0,19,1
414,26,3,3,5,0,17,0
415,32,10,3,4,0,42,0
416,30,1,3,5,0,15,1
417,9,0,3,5,0,27,0
418,16,7,7,9,0,30,0
419,30,2,5,3,0,32,1
420,34,2,3,5,0,22,0
421,3,647,3,5,0,14,0
422,6,0,5,5,0,24,0
423,41,0,2,1,0,31,0
424,22,6,3,5,1,52,0
425,16,7,3,2,0,22,0
426,43,2,4,1,0,19,1
427,3,1124,6,204,0,45,0
428,10,0,3,12,0,16,0
429,2,7,2,4,0,30,0
430,27,0,2,5,0,15,0
431,24,1,2,1,0,18,0
432,8,13,3,5,0,16,0
433,10,1,4,2,0,20,0
434,28,1,7,1,0,27,1
435,14,4,3,5,0,14,0
436,6,0,2,5,0,21,0
437,14,0,3,5,0,25,0
438,2,17,4,5,0,16,0
439,14,1,2,5,0,26,0
440,33,5,5,5,0,29,0
441,2,1,6,5,0,18,0
442,34,0,3,5,0,19,0
443,6,0,2,5,0,15,0
444,5,0,5,5,0,26,0
445,25,9,4,5,0,21,0
446,13,0,4,5,0,24,0
447,6,13,5,38,0,20,0
448,7,4,2,5,1,15,0
449,2,0,3,5,0,16,0
450,6,0,3,5,0,15,0
451,33,0,3,5,0,16,0
452,11,0,3,5,0,36,1
453,25,3,3,25,0,112,0
454,13,0,3,5,0,21,0
455,10,2,5,2,0,21,0
456,25,1,5,9,0,24,0
457,12,1,2,5,0,19,0
458,32,0,4,5,0,15,0
459,13,0,6,1,0,40,0
460,4,7,2,13,0,14,0
461,13,7,4,5,0,19,0
462,39,3,3,1,0,21,1
463,30,0,3,5,0,24,0
464,11,0,4,5,0,27,0
465,22,0,3,1,0,17,1
466,9,7,4,5,0,21,1
467,10,25,3,16,0,14,0
468,22,39,4,19,0,16,0
469,3,0,3,5,0,22,0
470,18,1,4,5,0,22,0
471,22,37,6,22,0,22,0
472,2,0,6,5,0,27,0
473,31,1,8,2,0,32,0
474,13,25,5,3,0,31,0
475,7,1,2,5,0,21,0
476,5,7,3,12,0,16,0
477,18,2,3,3,0,14,0
478,13,0,2,5,1,20,0
479,3,11,3,2,0,25,1
480,5,0,2,5,0,14,1
481,15,0,2,4,0,40,0
482,11,2,3,5,0,18,0
483,4,0,5,5,0,40,1
484,7,4,6,4,0,53,0
485,16,6,5,29,0,18,0
486,3,1,3,5,0,18,0
487,17,8,2,22,0,25,0
488,16,5,4,1,0,17,0
489,14,0,2,5,0,24,0
490,15,11,6,8,0,24,0
491,1,22,5,5,0,24,0
492,9,0,3,5,1,16,0
493,44,20,3,23,0,22,0
494,37,4,8,2,0,29,0
495,2,2,3,1,0,50,0
496,12,29,4,9,0,18,0
497,4,118,6,5,1,18,0
498,10,25,2,6,0,16,0
499,24,1,3,5,0,20,0
500,15,4,3,8,0,28,0
501,1,0,4,5,0,22,0
502,16,0,3,5,0,22,0
503,26,0,3,1,0,20,0
504,22,0,3,1,1,15,1
505,2,13,4,4,0,17,0
506,16,0,3,5,0,24,0
507,1,0,6,1,0,24,0
508,5,7,8,11,0,23,0
509,11,32,4,5,0,65,0
510,6,49,4,5,0,22,0
511,8,22,2,22,0,15,1
512,16,6,5,2,0,23,0
513,39,1,3,5,0,21,0
514,19,0,4,5,1,22,1
515,3,1,4,5,0,38,0
516,8,3,5,22,0,30,0
517,22,10,5,1,0,22,0
518,21,1,3,5,0,17,0
519,17,1,3,1,0,14,0
520,12,8,2,2,0,15,0
521,13,0,4,2,0,20,0
522,5,1,3,4,0,22,0
523,12,300,3,13,0,26,0
524,27,4,3,7,0,35,0
525,17,2,2,1,0,23,0
526,31,6,3,5,0,15,1
527,18,2,3,5,0,16,0
528,11,11,4,1,0,20,0
529,9,1,3,2,0,17,0
530,10,0,5,5,0,32,1
531,30,0,2,1,0,18,1
532,30,0,3,5,0,21,1
533,16,66,3,93,0,21,0
534,3,1,2,5,1,14,0
535,4,0,4,3,1,32,0
536,4,0,2,5,0,16,0
537,8,5,8,24,0,26,0
538,6,0,3,5,1,22,1
539,20,4,4,1,1,22,1
540,13,0,2,5,0,20,0
541,23,5,2,2,0,15,1
542,6,0,7,5,0,27,0
543,10,0,2,2,0,15,0
544,5,23,3,28,1,16,0
545,14,1,2,5,1,22,1
546,16,14,3,27,0,21,0
547,21,4,3,1,0,42,0
548,20,2,4,5,0,19,0
549,18,1,3,1,0,22,0
550,7,1,3,5,0,19,1
551,6,2,6,1,0,51,0
552,22,6,3,19,0,21,0
553,9,0,3,1,0,15,1
554,4,0,3,5,0,41,0
555,22,2,4,22,0,22,0
556,27,22,8,9,0,30,0
557,29,0,4,5,0,33,0
558,5,1,3,5,0,23,0
559,36,3,4,5,0,21,0
560,5,7,3,12,0,19,0
561,33,7,7,3,0,35,0
562,3,0,5,2,0,17,0
563,13,0,3,5,0,15,0
564,13,0,3,5,0,19,1
565,27,1,3,1,0,22,0
566,11,16,4,5,0,16,0
567,15,8,3,2,0,20,0
568,24,1128,7,224,0,21,1
569,16,1,3,5,0,18,0
570,35,1,3,5,0,14,0
571,2,126,3,10,0,21,0
572,27,0,2,5,0,20,0
573,3,7,5,5,0,17,0
574,22,0,2,5,0,51,0
575,15,5,3,1,0,19,0
576,21,22,2,4,0,23,0
577,29,29,5,10,0,20,0
578,24,49,4,106,0,15,0
579,12,0,2,1,0,23,0
580,14,4,3,5,0,13,0
581,1,0,3,5,1,19,0
582,2,53,5,56,0,20,0
583,1,11,6,16,0,17,0
584,16,6,3,4,0,18,0
585,9,1,8,5,0,24,1
586,16,1,5,5,0,27,0
587,15,0,3,6,0,13,0
588,4,4,2,5,0,17,0
589,13,4,2,20,1,19,0
590,2,0,6,5,1,28,0
591,13,0,5,5,0,43,1
592,44,1,3,5,0,21,1
593,3,0,3,5,0,22,0
594,15,1,2,4,1,19,0
595,18,6,2,3,1,20,0
596,16,32,4,31,0,18,0
597,4,0,2,5,0,14,0
598,6,0,3,5,1,17,0
599,24,7,5,5,1,23,0
600,27,13,2,5,1,33,0
601,21,0,4,5,0,43,0
602,29,3,4,5,0,34,0
603,7,0,3,1,0,32,0
604,41,3,5,5,1,29,0
605,17,2,8,4,0,30,0
606,2,1,3,5,0,22,0
607,18,0,4,5,1,19,0
608,7,1,3,5,0,35,0
609,8,0,2,5,0,16,0
610,21,6,4,14,0,21,0
611,3,7,4,5,0,20,0
612,11,3,4,5,0,26,0
613,20,18,3,7,0,17,0
614,14,0,3,5,0,21,0
615,27,0,5,5,0,27,0
616,2,0,3,5,0,20,0
617,40,2,5,27,0,31,1
618,17,0,3,5,0,35,0
619,27,1,4,7,0,18,0
620,9,14,4,2,0,110,1
621,17,3,5,5,0,18,0
622,2,37,3,6,0,37,1
623,11,4,8,1,0,26,0
624,5,24,3,6,0,28,0
625,2,0,4,5,0,20,0
626,31,2,4,18,0,21,1
627,2,6,2,5,1,26,0
628,8,4,3,10,0,16,0
629,8,12,3,8,0,22,0
630,12,84,3,51,0,28,0
631,40,10,3,5,0,19,1
632,36,9,3,5,1,36,1
633,21,7,3,32,0,18,0
634,18,22,4,32,0,21,0
635,27,4,2,2,0,35,0
636,16,460,3,48,0,23,0
637,5,1,8,5,0,28,0
638,42,2,3,2,0,21,0
639,28,10,3,5,0,15,0
640,10,0,3,5,0,14,0
641,17,0,2,1,0,14,0
642,5,1,3,5,0,20,0
643,1,0,3,5,0,20,1
644,4,0,2,5,0,14,0
645,39,12,8,13,0,25,0
646,35,10,7,5,0,19,0
647,11,1,5,5,0,20,0
648,34,0,3,5,0,13,0
649,6,3,3,25,0,22,0
650,26,2,4,3,0,30,0
651,40,36,3,6,0,30,0
652,15,0,2,5,0,14,0
653,2,1,5,5,1,32,0
654,17,3,2,6,0,19,0
655,44,0,3,5,0,41,1
656,2,3,3,5,0,21,0
657,9,25,6,3,0,50,0
658,28,2,6,5,0,23,0
659,13,4,4,12,0,23,0
660,15,1,3,3,1,17,0
661,27,4,5,2,0,19,0
662,3,7,2,5,0,14,0
663,37,3,6,5,1,22,0
664,36,25,4,5,1,27,1
665,17,0,3,5,0,21,1
666,9,13,5,1,0,18,1
667,1,8,2,1,0,16,0
668,14,2,3,5,0,35,1
669,8,2,7,8,0,28,0
670,25,6,4,5,0,29,1
671,5,8,3,2,0,21,0
672,15,4,3,3,0,18,0
673,25,2,2,1,0,23,0
674,1,0,3,5,0,41,0
675,23,3,4,5,0,22,1
676,9,0,6,5,1,22,0
677,12,3,3,6,0,21,0
678,35,6,4,29,0,21,0
679,7,5,4,12,0,17,0
680,1,281,8,69,1,19,0
681,1,2,2,10,1,14,0
682,23,2,5,13,0,21,0
683,6,0,3,5,1,24,0
684,1,0,2,5,0,17,0
685,17,13,2,6,0,14,0
686,26,1,3,5,0,32,0
687,12,1,3,1,0,14,1
688,34,3,4,5,0,48,0
689,11,19,3,10,0,16,0
690,20,3,3,2,0,21,0
691,10,1,4,5,0,29,0
692,5,0,4,5,0,27,0
693,13,19,5,13,0,16,0
694,14,16,2,5,0,18,0
695,8,0,7,5,0,28,0
696,29,0,2,2,0,18,0
697,24,17,3,3,1,14,0
698,6,21,2,4,0,14,0
699,31,2,3,1,0,15,1
700,23,2,4,5,0,21,0
701,4,16,3,13,0,15,0
702,5,1,2,11,1,32,0
703,3,2,3,3,0,15,0
704,2,1,3,5,0,31,1
705,9,3,2,7,0,61,0
706,23,1,3,5,0,18,0
707,7,7,3,5,0,18,0
708,4,1,2,5,0,30,0
709,2,0,5,1,0,16,0
710,22,1,3,5,0,27,1
711,22,0,2,5,0,21,0
712,5,0,2,1,0,19,0
713,3,19,6,5,0,21,0
714,9,0,7,5,0,35,0
